2026-06-07 20:46:59 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 20:47:59 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 20:48:53 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC2 user=cp_ALC2
2026-06-07 20:59:45 | CP_DISCONNECTED      | ALC2            | Monitor desconectado
2026-06-07 20:59:45 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:03:46 | SYSTEM_START         | central         | port=5100 broker=localhost:9092
2026-06-07 21:05:02 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:08:06 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:08:31 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:08:54 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:18:41 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 21:19:50 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 21:20:32 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:20:44 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:20:58 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 21:20:59 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:21:13 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:29:24 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-07 21:29:47 | AUTH_FAIL            | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:29:47 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:29:54 | AUTH_FAIL            | 127.0.0.1       | cp_id=ALC2 user=cp_ALC2
2026-06-07 21:29:54 | CP_DISCONNECTED      | ALC2            | Monitor desconectado
2026-06-07 21:30:10 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:30:16 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-07 21:30:40 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC2 user=cp_ALC2
2026-06-07 21:30:43 | CP_DISCONNECTED      | ALC2            | Monitor desconectado
2026-06-07 21:30:46 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-07 21:31:28 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC2 user=cp_ALC2
2026-06-07 21:32:43 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC3 user=cp_ALC3
2026-06-07 21:34:13 | CHARGE_END           | ALC2            | driver=Driver2 kwh=10.00 cost=5.00
2026-06-07 21:34:19 | CHARGE_END           | ALC1            | driver=Driver1 kwh=30.00 cost=21.00
2026-06-07 21:34:46 | CP_DISCONNECTED      | ALC3            | Monitor desconectado
2026-06-07 21:40:01 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=7.00
